Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,9.325000,9.400000,9.233334,9.358334,8.829052,11399100
2019-01-16,9.350000,9.433333,9.308333,9.333333,8.805463,10038300
2019-01-17,9.225000,9.441667,9.216666,9.383333,8.852635,13723600
2019-01-18,9.533334,9.575000,9.366667,9.458333,8.923394,11041600
2019-01-22,9.316667,9.400000,9.091666,9.116667,8.601051,12359600
2019-01-23,9.308333,9.441667,9.191667,9.425000,8.891947,10292400
2019-01-24,9.408334,9.516666,9.358334,9.483334,8.946980,15313500
2019-01-25,9.558333,9.650000,9.383333,9.591666,9.049188,12919000
2019-01-28,9.458333,9.650000,9.441667,9.516666,8.978428,11204700
2019-01-29,9.725000,9.750000,9.566667,9.616667,9.072775,13412600
2019-01-30,9.600000,9.708333,9.383333,9.650000,9.104220,13328800
2019-01-31,10.158334,10.466666,10.116667,10.350000,9.764630,22627000
2019-02-01,10.166667,10.250000,10.041667,10.183333,9.607391,18900600
2019-02-04,10.025000,10.391666,10.000000,10.325000,9.745870,13684400
2019-02-05,10.300000,10.450000,10.208333,10.333333,9.753736,14035200
2019-02-06,10.025000,10.100000,9.733334,9.825000,9.273911,18458400
2019-02-07,9.916667,9.958333,9.658334,9.883333,9.328976,23911800
2019-02-08,10.058333,10.100000,9.716666,9.908334,9.352573,19156000
2019-02-11,9.916667,9.941667,9.658334,9.816667,9.266049,10318300
2019-02-12,10.050000,10.266666,9.916667,10.100000,9.533491,16248100
2019-02-13,10.050000,10.100000,9.833333,9.858334,9.305376,15603900
2019-02-14,9.700000,10.366667,9.683333,10.266666,9.690807,26778700
2019-02-15,10.325000,10.358334,10.175000,10.325000,9.745870,13286100
2019-02-19,10.183333,10.258333,10.075000,10.091666,9.525621,15315400
2019-02-20,10.100000,10.258333,9.925000,9.950000,9.391902,18535300
2019-02-21,9.900000,9.908334,9.758333,9.908334,9.352573,22457100
2019-02-22,9.966666,9.966666,9.783334,9.891666,9.336841,16947000
2019-02-25,9.966666,9.975000,9.766666,9.800000,9.250317,14667700
2019-02-26,9.808333,9.983334,9.775000,9.975000,9.415502,18758500
2019-02-27,9.883333,9.983334,9.833333,9.916667,9.360439,8917800
2019-02-28,9.816667,9.816667,9.550000,9.566667,9.030071,24333400
2019-03-01,9.475000,9.550000,9.316667,9.358334,8.833425,15574500
2019-03-04,9.391666,9.416667,9.241667,9.350000,8.825558,11131200
2019-03-05,9.391666,9.500000,9.316667,9.433333,8.904214,6891600
2019-03-06,9.416667,9.441667,9.083333,9.150000,8.641425,14448300
2019-03-07,9.200000,9.200000,8.983334,9.116667,8.609948,13183500
2019-03-08,9.100000,9.266666,9.091666,9.250000,8.735867,14388000
2019-03-11,9.416667,9.708333,9.400000,9.708333,9.168725,14946800
2019-03-12,9.700000,9.775000,9.650000,9.758333,9.215947,12557400
2019-03-13,9.725000,9.958333,9.675000,9.858334,9.310389,14886600
2019-03-14,9.816667,9.833333,9.691667,9.833333,9.286777,10423400
2019-03-15,9.891666,10.000000,9.883333,9.925000,9.373349,13866300
2019-03-18,9.925000,10.091666,9.925000,10.075000,9.515014,7971100
2019-03-19,10.033334,10.083333,9.850000,9.891666,9.341868,14221100
2019-03-20,9.816667,9.908334,9.608334,9.716666,9.176596,21442300
2019-03-21,9.616667,9.625000,9.183333,9.350000,8.830309,23526000
2019-03-22,8.966666,9.075000,8.691667,8.791667,8.303009,42804400
2019-03-25,8.816667,9.025000,8.800000,8.908334,8.413193,14652000
2019-03-26,9.025000,9.066667,8.866667,8.975000,8.476153,16607800
2019-03-27,8.675000,8.741667,8.441667,8.500000,8.027555,25825400
2019-03-28,8.525000,9.008333,8.516666,8.908334,8.413193,26909900
2019-03-29,9.041667,9.183333,8.966666,9.091666,8.586335,15028600
2019-04-01,9.340000,9.480000,9.240000,9.260000,8.745312,16624300
2019-04-02,9.270000,9.300000,9.030000,9.170000,8.660313,10015600
2019-04-03,9.290000,9.350000,8.980000,9.050000,8.546983,13967800
2019-04-04,9.070000,9.350000,9.010000,9.310000,8.792532,12464800
2019-04-05,9.270000,9.450000,9.230000,9.390000,8.872841,10412500
2019-04-08,9.350000,9.410000,9.250000,9.410000,8.891738,6185700
