Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,147,147,147,147,145.74469,0
2019-01-16,147,147,147,147,145.74469,0
2019-01-17,147,147,147,147,145.74469,0
2019-01-18,147,147,147,147,145.74469,0
2019-01-21,147,147,147,147,145.74469,0
2019-01-22,147,147,147,147,145.74469,0
2019-01-23,147,147,147,147,145.74469,0
2019-01-24,147,147,147,147,145.74469,0
2019-01-25,147,147,147,147,145.74469,0
2019-01-28,147,147,147,147,145.74469,0
2019-01-29,147,147,147,147,145.74469,0
2019-01-30,147,147,147,147,145.74469,0
2019-01-31,147,147,147,147,145.74469,0
2019-02-01,147,147,147,147,145.74469,0
2019-02-05,147,147,147,147,145.74469,0
2019-02-06,147,147,147,147,145.74469,0
2019-02-07,147,147,147,147,145.74469,0
2019-02-08,147,147,147,147,145.74469,0
2019-02-11,147,147,147,147,145.74469,0
2019-02-12,147,147,147,147,145.74469,0
2019-02-13,147,147,147,147,145.74469,0
2019-02-14,147,147,147,147,145.74469,0
2019-02-15,147,147,147,147,145.74469,0
2019-02-18,147,147,147,147,145.74469,0
2019-02-19,147,147,147,147,145.74469,0
2019-02-20,147,147,147,147,145.74469,0
2019-02-21,147,147,147,147,145.74469,0
2019-02-22,140,140,140,140,138.804459,23726
2019-02-25,140,140,140,140,138.804459,10009
2019-02-26,140,140,140,140,138.804459,0
2019-02-27,140,147,140,147,145.74469,893
2019-02-28,147,147,147,147,145.74469,0
2019-03-01,140,140,140,140,138.804459,1800
2019-03-04,144.199997,144.199997,144.199997,144.199997,142.968597,100
2019-03-05,144.199997,144.199997,144.199997,144.199997,142.968597,0
2019-03-06,144.199997,144.199997,144.199997,144.199997,142.968597,0
2019-03-07,140,140,140,140,138.804459,27157
2019-03-08,140,140,140,140,138.804459,0
2019-03-11,140,140,140,140,138.804459,0
2019-03-12,144,144,144,144,142.770309,100
2019-03-13,144,144,144,144,142.770309,0
2019-03-14,144,144,144,144,142.770309,0
2019-03-15,144,144,144,144,142.770309,0
2019-03-19,144,144,144,144,142.770309,0
2019-03-20,140,143,140,143,141.778839,4776
2019-03-21,143,143,143,143,141.778839,0
2019-03-22,143,143,143,143,141.778839,0
2019-03-25,143,143,143,143,141.778839,0
2019-03-26,137,142,137,142,140.787384,10010
2019-03-27,142,142,142,142,140.787384,0
2019-03-28,142,142,142,142,140.787384,0
2019-03-29,142,142,142,142,140.787384,0
2019-04-01,142,142,142,142,140.787384,0
2019-04-02,142,142,142,142,140.787384,0
2019-04-03,142,142,142,142,140.787384,0
2019-04-04,138,138,138,138,136.821548,2532
2019-04-05,138,138,138,138,136.821548,0
2019-04-08,138,138,138,138,136.821548,0
2019-04-09,144,144,144,144,142.770309,168
2019-04-10,144,144,144,144,142.770309,0
2019-04-11,144,144,144,144,142.770309,0
2019-04-12,144,144,144,144,142.770309,0
2019-04-15,144,144,144,144,142.770309,0
2019-04-16,144,144,144,144,142.770309,0
2019-04-17,144,144,144,144,142.770309,0
2019-04-22,144,144,144,144,142.770309,0
2019-04-23,144,144,144,144,142.770309,0
2019-04-24,144,144,144,144,142.770309,0
2019-04-25,144,144,144,144,142.770309,0
2019-04-26,144,144,144,144,142.770309,0
2019-04-29,144,144,144,144,142.770309,0
2019-04-30,144,144,144,144,142.770309,0
2019-05-02,144,144,144,144,142.770309,0
2019-05-03,144,144,144,144,142.770309,0
2019-05-06,130,130,130,130,128.889862,50006
2019-05-07,130,130,130,130,128.889862,0
2019-05-08,130,130,130,130,128.889862,0
2019-05-09,130,130,130,130,128.889862,0
2019-05-10,135,135,135,135,133.847153,101
2019-05-13,135,135,135,135,133.847153,9371
2019-05-14,135,141.720001,135,141.720001,140.509781,2437
2019-05-15,141.720001,141.720001,141.720001,141.720001,140.509781,106
2019-05-16,141.699997,141.699997,141.699997,141.699997,140.489944,9500
2019-05-17,141.699997,141.699997,141.699997,141.699997,140.489944,0
2019-05-20,141.699997,141.699997,141.699997,141.699997,140.489944,0
2019-05-21,141.699997,141.699997,141.699997,141.699997,140.489944,0
2019-05-22,141.699997,141.699997,141.699997,141.699997,140.489944,0
2019-05-23,141.699997,141.699997,141.699997,141.699997,140.489944,0
2019-05-24,141.720001,145,141.720001,145,143.761765,1214
2019-05-27,145,145,145,145,143.761765,0
2019-05-28,145,145,145,145,143.761765,134
2019-05-29,144.899994,144.899994,144.899994,144.899994,143.662613,843
2019-05-30,144.899994,144.899994,144.899994,144.899994,143.662613,0
2019-05-31,144.899994,144.899994,144.899994,144.899994,143.662613,0
2019-06-03,144.899994,144.899994,144.899994,144.899994,143.662613,0
2019-06-04,144.899994,150,144.899994,150,148.71907,1062
2019-06-05,150,150,150,150,148.71907,0
2019-06-06,150,150,150,150,148.71907,0
2019-06-07,150,150,150,150,148.71907,0
2019-06-10,148,148,148,148,146.736145,130
2019-06-11,148,148,148,148,146.736145,0
2019-06-12,148,148,148,148,146.736145,0
2019-06-13,148,148,148,148,146.736145,0
2019-06-14,145.5,145.5,145.5,145.5,144.257492,1422
2019-06-17,145.5,145.5,145.5,145.5,144.257492,0
2019-06-18,145.5,145.5,145.5,145.5,144.257492,0
2019-06-19,145.5,145.5,145.5,145.5,144.257492,0
2019-06-20,145.5,145.5,145.5,145.5,144.257492,0
2019-06-21,145.490005,145.490005,145.490005,145.490005,144.247589,4000
2019-06-24,145.490005,145.490005,145.490005,145.490005,144.247589,0
2019-06-25,145.490005,145.490005,145.490005,145.490005,144.247589,0
2019-06-26,145.490005,145.490005,145.490005,145.490005,144.247589,0
2019-06-27,145.490005,145.490005,145.490005,145.490005,144.247589,0
2019-06-28,145.490005,145.490005,145.490005,145.490005,144.247589,0
2019-07-01,139,139,139,139,137.813004,329
2019-07-02,139,139,139,139,137.813004,0
2019-07-03,139,139,139,139,137.813004,0
2019-07-04,139,139,139,139,137.813004,0
2019-07-05,139,139,139,139,137.813004,0
2019-07-08,139,139,139,139,137.813004,0
2019-07-09,135,141,135,141,139.795929,5109
2019-07-10,141,141,141,141,139.795929,0
2019-07-11,141,141,141,141,139.795929,0
2019-07-12,141,141,141,141,139.795929,0
2019-07-15,141,141,141,141,139.795929,0
2019-07-16,141,141,141,141,139.795929,0
2019-07-17,141,141,141,141,139.795929,0
2019-07-18,141,141,141,141,139.795929,0
2019-07-19,141,141,141,141,139.795929,0
2019-07-22,141,141,141,141,139.795929,0
2019-07-23,141,141,141,141,139.795929,0
2019-07-24,139,139,139,139,137.813004,100
2019-07-25,139,139,139,139,137.813004,0
2019-07-26,139,139,139,139,137.813004,0
2019-07-29,139,139,139,139,137.813004,0
2019-07-30,139,139,139,139,137.813004,0
2019-07-31,140,140,140,140,138.804459,181
2019-08-01,140,140,140,140,138.804459,0
2019-08-02,140,140,140,140,138.804459,0
2019-08-05,140,140,140,140,138.804459,0
2019-08-06,139.899994,139.899994,139.899994,139.899994,138.705307,14500
2019-08-07,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-08,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-09,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-12,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-13,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-14,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-15,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-16,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-19,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-20,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-21,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-22,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-23,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-26,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-27,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-28,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-29,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-08-30,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-02,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-03,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-04,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-05,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-06,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-09,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-10,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-11,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-12,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-13,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-17,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-18,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-19,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-20,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-23,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-24,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-25,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-26,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-27,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-09-30,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-01,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-02,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-03,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-04,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-07,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-08,139.899994,139.899994,139.899994,139.899994,138.705307,0
